Field,Class,Package
duration, org.apache.commons.math4.userguide.ClusterAlgorithmComparison.ClusterPlot, org.apache.commons.math4.userguide
PAD, org.apache.commons.math4.userguide.ClusterAlgorithmComparison.ClusterPlot, org.apache.commons.math4.userguide
clusters, org.apache.commons.math4.userguide.ClusterAlgorithmComparison.ClusterPlot, org.apache.commons.math4.userguide
FMT_HDR, org.apache.commons.math4.userguide.FastMathTestPerformance, org.apache.commons.math4.userguide
F1, org.apache.commons.math4.userguide.FastMathTestPerformance, org.apache.commons.math4.userguide
RUNS, org.apache.commons.math4.userguide.FastMathTestPerformance, org.apache.commons.math4.userguide
FMT_DTL, org.apache.commons.math4.userguide.FastMathTestPerformance, org.apache.commons.math4.userguide
timeslice, org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, org.apache.commons.math4.userguide.filter
measurementNoise, org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, org.apache.commons.math4.userguide.filter
gravity, org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, org.apache.commons.math4.userguide.filter
location, org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, org.apache.commons.math4.userguide.filter
rng, org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, org.apache.commons.math4.userguide.filter
velocity, org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, org.apache.commons.math4.userguide.filter
container, org.apache.commons.math4.userguide.filter.CannonballExample.Display, org.apache.commons.math4.userguide.filter
initialVoltage, org.apache.commons.math4.userguide.filter.ConstantVoltageExample.VoltMeter, org.apache.commons.math4.userguide.filter
measurementNoise, org.apache.commons.math4.userguide.filter.ConstantVoltageExample.VoltMeter, org.apache.commons.math4.userguide.filter
processNoise, org.apache.commons.math4.userguide.filter.ConstantVoltageExample.VoltMeter, org.apache.commons.math4.userguide.filter
rng, org.apache.commons.math4.userguide.filter.ConstantVoltageExample.VoltMeter, org.apache.commons.math4.userguide.filter
container, org.apache.commons.math4.userguide.filter.ConstantVoltageExample.Display, org.apache.commons.math4.userguide.filter
painter, org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, org.apache.commons.math4.userguide.genetics
ref, org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, org.apache.commons.math4.userguide.genetics
internalThread, org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, org.apache.commons.math4.userguide.genetics
currentPopulation, org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, org.apache.commons.math4.userguide.genetics
testImage, org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, org.apache.commons.math4.userguide.genetics
referenceImage, org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, org.apache.commons.math4.userguide.genetics
ga, org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, org.apache.commons.math4.userguide.genetics
bestFit, org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, org.apache.commons.math4.userguide.genetics
noStopRequested, org.apache.commons.math4.userguide.genetics.ImageEvolutionExample.Display, org.apache.commons.math4.userguide.genetics
data, org.apache.commons.math4.userguide.genetics.Polygon, org.apache.commons.math4.userguide.genetics
testImage, org.apache.commons.math4.userguide.genetics.PolygonChromosome, org.apache.commons.math4.userguide.genetics
refImage, org.apache.commons.math4.userguide.genetics.PolygonChromosome, org.apache.commons.math4.userguide.genetics
mutationRate, org.apache.commons.math4.userguide.genetics.RandomPolygonMutation, org.apache.commons.math4.userguide.genetics
mutationAmount, org.apache.commons.math4.userguide.genetics.RandomPolygonMutation, org.apache.commons.math4.userguide.genetics
PAD, org.apache.commons.math4.userguide.LowDiscrepancyGeneratorComparison.Plot, org.apache.commons.math4.userguide
points, org.apache.commons.math4.userguide.LowDiscrepancyGeneratorComparison.Plot, org.apache.commons.math4.userguide
